filename,letter,confidence,dx,dy
test_0054_20260520_191039.png,N,0.00,0,0
test_0065_20260520_191047.png,N,0.00,0,0
test_0068_20260520_191049.png,N,0.00,0,0
test_0064_20260520_191047.png,N,0.00,0,0
test_0003_20260520_191012.png,N,0.00,0,0
test_0019_20260520_191021.png,N,0.00,0,0
test_0000_20260520_191011.png,N,0.00,0,0
test_0012_20260520_191017.png,N,0.00,0,0
test_0004_20260520_191013.png,N,0.00,0,0
test_0018_20260520_191020.png,N,0.00,0,0
test_0021_20260520_191022.png,N,0.00,0,0
test_0072_20260520_191051.png,N,0.00,0,0
test_0039_20260520_191030.png,N,0.00,0,0
test_0061_20260520_191045.png,N,0.00,0,0
test_0009_20260520_191016.png,N,0.00,0,0
test_0010_20260520_191017.png,N,0.00,0,0
test_0053_20260520_191038.png,N,0.00,0,0
test_0020_20260520_191021.png,N,0.00,0,0
test_0058_20260520_191042.png,N,0.00,0,0
test_0048_20260520_191034.png,N,0.00,0,0
test_0066_20260520_191048.png,N,0.00,0,0
test_0013_20260520_191018.png,N,0.00,0,0
test_0047_20260520_191034.png,N,0.00,0,0
test_0042_20260520_191032.png,N,0.00,0,0
test_0002_20260520_191012.png,N,0.00,0,0
test_0006_20260520_191014.png,N,0.00,0,0
test_0026_20260520_191024.png,N,0.00,0,0
test_0051_20260520_191036.png,N,0.00,0,0
test_0043_20260520_191032.png,N,0.00,0,0
test_0028_20260520_191025.png,N,0.00,0,0
test_0046_20260520_191034.png,N,0.00,0,0
test_0077_20260520_191054.png,N,0.00,0,0
test_0056_20260520_191040.png,N,0.00,0,0
test_0005_20260520_191014.png,N,0.00,0,0
test_0038_20260520_191030.png,N,0.00,0,0
test_0057_20260520_191040.png,N,0.00,0,0
test_0024_20260520_191023.png,N,0.00,0,0
test_0075_20260520_191053.png,N,0.00,0,0
test_0037_20260520_191029.png,N,0.00,0,0
test_0030_20260520_191026.png,N,0.00,0,0
test_0041_20260520_191031.png,N,0.00,0,0
test_0060_20260520_191044.png,N,0.00,0,0
test_0040_20260520_191031.png,N,0.00,0,0
test_0032_20260520_191027.png,N,0.00,0,0
test_0062_20260520_191045.png,N,0.00,0,0
test_0063_20260520_191046.png,N,0.00,0,0
test_0034_20260520_191028.png,N,0.00,0,0
test_0025_20260520_191023.png,N,0.00,0,0
test_0031_20260520_191026.png,N,0.00,0,0
test_0079_20260520_191055.png,N,0.00,0,0
test_0070_20260520_191050.png,N,0.00,0,0
test_0055_20260520_191039.png,N,0.00,0,0
test_0011_20260520_191017.png,N,0.00,0,0
test_0007_20260520_191015.png,N,0.00,0,0
test_0008_20260520_191015.png,N,0.00,0,0
test_0076_20260520_191053.png,N,0.00,0,0
test_0017_20260520_191020.png,N,0.00,0,0
test_0069_20260520_191049.png,N,0.00,0,0
test_0052_20260520_191038.png,N,0.00,0,0
test_0044_20260520_191033.png,N,0.00,0,0
test_0033_20260520_191028.png,N,0.00,0,0
test_0078_20260520_191054.png,N,0.00,0,0
test_0029_20260520_191025.png,N,0.00,0,0
test_0080_20260520_191056.png,N,0.00,0,0
test_0035_20260520_191028.png,N,0.00,0,0
test_0074_20260520_191052.png,N,0.00,0,0
test_0045_20260520_191033.png,N,0.00,0,0
test_0050_20260520_191035.png,N,0.00,0,0
test_0081_20260520_191056.png,N,0.00,0,0
test_0014_20260520_191018.png,N,0.00,0,0
test_0016_20260520_191020.png,N,0.00,0,0
test_0073_20260520_191052.png,N,0.00,0,0
test_0023_20260520_191023.png,N,0.00,0,0
test_0027_20260520_191024.png,N,0.00,0,0
test_0036_20260520_191029.png,N,0.00,0,0
test_0049_20260520_191035.png,N,0.00,0,0
test_0001_20260520_191011.png,N,0.00,0,0
test_0067_20260520_191048.png,N,0.00,0,0
test_0071_20260520_191050.png,N,0.00,0,0
test_0015_20260520_191019.png,N,0.00,0,0
test_0059_20260520_191044.png,N,0.00,0,0
test_0022_20260520_191022.png,N,0.00,0,0

A_count,0
B_count,0
N_count,82
total,82
